ID,性別,年齡,擇偶條件文字
1,女,24,希望對方愛看劇、有興趣愛好、會彈吉他、不挑撥是非、不無故翻臉、跟家人關係好、有責任感、有責任感、身高超過170、不過度打扮。
2,女,29,希望對方願意一起成長、有責任感、喜歡運動、愛看展覽、不怕變化、想養寵物、有副業收入、願意共同負擔生活。
3,女,26,希望對方不社恐、會聊天、不嗆人、懂保險、不啃老、不拖欠債務、身高超過170、看起來舒服、重視兩人未來、不怕承諾、大方、有擔當、環保意識、乾淨整潔。
4,女,28,希望對方有穩定朋友圈、有朋友但不愛玩過頭、會打掃、懂得休息、不打遊戲成癮、有責任感、大方、願意道歉、不情緒勒索、不濃妝豔抹、不亂刺青、注重整潔。
5,女,29,希望對方不限制交友、不翻舊帳、想養寵物、不怕變化、不打遊戲成癮、不懶惰、願意幫忙朋友、會維持親密關係。
6,女,20,希望對方不油條、不社恐、願意妥協、能給空間、不控制人、有責任感、有責任感、有責任感、不愛比較、不八卦、不公主病、不蓬頭垢面、不亂刺青、有興趣愛好、喜歡閱讀。
7,女,25,希望對方溫柔、善良、作息正常、乾淨整潔、願意一起成長、有信仰、願意一起成長、不當巨嬰、尊重我的家人、能維護伴侶形象、會規劃兩人生活、對未來有規劃、喜歡跳舞、有興趣愛好。
8,女,21,希望對方不怕承諾、不逃避現實、希望買房、有耐心、幽默、愛看書、會畫畫、不太邋遢、牙齒整齊、髮型清爽。
9,女,20,希望對方有明確職涯規劃、有上進心、不限制交友、不情緒勒索、願意改變、不大男人主義、尊重女性、願意求助專業、想結婚、不逃避現實、喜歡逛街、喜歡旅行、喜歡運動、身高超過170、不蓬頭垢面。
10,女,29,希望對方喜歡旅行、喜歡運動、愛寫作、希望買房、不排斥生小孩、想結婚、注重整潔、穿搭得體、會做家事、不亂花錢、不抽菸。
11,女,27,希望對方不講別人壞話、不吵鬧、乾淨、不穿拖鞋出門、希望買房、能共同成長、有明確職涯規劃、不拖欠債務、重視家庭、願意一起成長、支持我的夢想。
12,女,27,希望對方有信仰、有責任感、有責任感、有擔當、不暴躁、不抽菸、願意陪伴、不油條、不裝熟、能應對場合、有副業收入、會投資、不過度節省。
13,女,23,希望對方能獨立生活、不拖欠債務、喜歡旅行、會畫畫、願意面對問題、想養寵物、希望買房、不性別歧視、孝順、不花心、能傾聽、善良、尊重我的家人、不公主病、不挑撥是非。
14,女,25,希望對方乾淨整潔、會做家事、守時、不讓我覺得無聊、尊重我的朋友、善良、穩重、愛看展覽、愛寫作。
15,女,28,希望對方會彈吉他、愛養寵物、愛看展覽、願意幫忙朋友、不講別人壞話、願意共同負擔生活、不過度節省、有存款觀念、不穿拖鞋出門、牙齒整齊、不裝熟、會聊天。
16,女,28,希望對方喜歡旅行、喜歡閱讀、有責任感、有責任感、誠實、不打遊戲成癮、有生活目標、願意陪伴、不愛炫耀、尊重我的朋友、不八卦、願意幫忙朋友、有穩定朋友圈。
